----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
          Conv2d-424             [-1, 32, 2, 2]          36,864
     BatchNorm2d-425           [-1, 1216, 2, 2]           2,432
            ReLU-426           [-1, 1216, 2, 2]               0
          Conv2d-427            [-1, 128, 2, 2]         155,648
     BatchNorm2d-428            [-1, 128, 2, 2]             256
            ReLU-429            [-1, 128, 2, 2]               0
          Conv2d-430             [-1, 32, 2, 2]          36,864
     BatchNorm2d-431           [-1, 1248, 2, 2]           2,496
            ReLU-432           [-1, 1248, 2, 2]               0
          Conv2d-433            [-1, 128, 2, 2]         159,744
     BatchNorm2d-434            [-1, 128, 2, 2]             256
            ReLU-435            [-1, 128, 2, 2]               0
          Conv2d-436             [-1, 32, 2, 2]          36,864
     BatchNorm2d-437           [-1, 1280, 2, 2]           2,560
            ReLU-438           [-1, 1280, 2, 2]               0
          Conv2d-439            [-1, 128, 2, 2]         163,840
     BatchNorm2d-440            [-1, 128, 2, 2]             256
            ReLU-441            [-1, 128, 2, 2]               0
          Conv2d-442             [-1, 32, 2, 2]          36,864
     BatchNorm2d-443           [-1, 1312, 2, 2]           2,624
            ReLU-444           [-1, 1312, 2, 2]               0
          Conv2d-445            [-1, 128, 2, 2]         167,936
     BatchNorm2d-446            [-1, 128, 2, 2]             256
            ReLU-447            [-1, 128, 2, 2]               0
          Conv2d-448             [-1, 32, 2, 2]          36,864
     BatchNorm2d-449           [-1, 1344, 2, 2]           2,688
            ReLU-450           [-1, 1344, 2, 2]               0
          Conv2d-451            [-1, 128, 2, 2]         172,032
     BatchNorm2d-452            [-1, 128, 2, 2]             256
            ReLU-453            [-1, 128, 2, 2]               0
          Conv2d-454             [-1, 32, 2, 2]          36,864
     BatchNorm2d-455           [-1, 1376, 2, 2]           2,752
            ReLU-456           [-1, 1376, 2, 2]               0
          Conv2d-457            [-1, 128, 2, 2]         176,128
     BatchNorm2d-458            [-1, 128, 2, 2]             256
            ReLU-459            [-1, 128, 2, 2]               0
          Conv2d-460             [-1, 32, 2, 2]          36,864
     BatchNorm2d-461           [-1, 1408, 2, 2]           2,816
            ReLU-462           [-1, 1408, 2, 2]               0
          Conv2d-463            [-1, 128, 2, 2]         180,224
     BatchNorm2d-464            [-1, 128, 2, 2]             256
            ReLU-465            [-1, 128, 2, 2]               0
          Conv2d-466             [-1, 32, 2, 2]          36,864
     BatchNorm2d-467           [-1, 1440, 2, 2]           2,880
            ReLU-468           [-1, 1440, 2, 2]               0
          Conv2d-469            [-1, 128, 2, 2]         184,320
     BatchNorm2d-470            [-1, 128, 2, 2]             256
            ReLU-471            [-1, 128, 2, 2]               0
          Conv2d-472             [-1, 32, 2, 2]          36,864
     BatchNorm2d-473           [-1, 1472, 2, 2]           2,944
            ReLU-474           [-1, 1472, 2, 2]               0
          Conv2d-475            [-1, 128, 2, 2]         188,416
     BatchNorm2d-476            [-1, 128, 2, 2]             256
            ReLU-477            [-1, 128, 2, 2]               0
          Conv2d-478             [-1, 32, 2, 2]          36,864
     BatchNorm2d-479           [-1, 1504, 2, 2]           3,008
            ReLU-480           [-1, 1504, 2, 2]               0
          Conv2d-481            [-1, 128, 2, 2]         192,512
     BatchNorm2d-482            [-1, 128, 2, 2]             256
            ReLU-483            [-1, 128, 2, 2]               0
          Conv2d-484             [-1, 32, 2, 2]          36,864
     BatchNorm2d-485           [-1, 1536, 2, 2]           3,072
            ReLU-486           [-1, 1536, 2, 2]               0
          Conv2d-487            [-1, 128, 2, 2]         196,608
     BatchNorm2d-488            [-1, 128, 2, 2]             256
            ReLU-489            [-1, 128, 2, 2]               0
